Review Rating;Review Writer;Title;Date Published;Verify Status;Country;Aircraft;Route;Type Of Traveller;Seat type;Date Flown;Value For Money (rating out of five);Seat Comfort (rating out of five);Cabin Staff Service (rating out of five);Food & Beverages (rating out of five);inflight_entertainment (rating out of five);Wifi & Connectivity (rating out of five);Ground Service (rating out of five);Recommended
2;Vitaliy Kryvosheiev;"""rude and ignorant cabin staff""";2021-10-08;Not Verified;United States;n/a;Amsterdam to New York;Solo Leisure;Business Class;September 2021;2;4;1;2;2;n/a;3;no
4;Venkata Adapa;"""8000 rupees for additional baggage""";2021-10-05;Not Verified;United States;n/a;Delhi to Mexico via Amsterdam;Solo Leisure;Economy Class;September 2021;1;3;3;2;n/a;n/a;2;no
1;Mark Grimes;"""luggage was never loaded onto the flight""";2021-10-04;Trip Verified;United States;Boeing 777-200;Atlanta to Kuwait via Amsterdam;Business;Economy Class;October 2021;1;1;1;n/a;n/a;n/a;1;no
1;P Varmova;"""What happened with their customer service?""";2021-10-02;Trip Verified;United States;n/a;London to Saint-Petersburg;Solo Leisure;Economy Class;June 2021;1;3;1;n/a;n/a;n/a;1;no
5;N Birley;"""staff at the airport were terrible""";2021-09-30;Trip Verified;United States;n/a;Belgrade to Dublin via Amsterdam;Business;Economy Class;September 2021;3;2;5;4;n/a;1;1;yes
10;N Prokuski;"""Delightful experience!""";2021-09-27;Not Verified;United States;n/a;Chicago to Amsterdam;Couple Leisure;First Class;September 2021;5;5;5;5;4;4;5;yes
3;S Derzeny ;"""took my small Samsonite hand luggage from me""";2021-09-11;Trip Verified;United States;B737-800 and a smaller one;Budapest to Aberdeen via Amsterdam;Solo Leisure;Economy Class;September 2021;3;5;5;3;n/a;n/a;1;no
1;Fabiana Evans;"""worst flight of our lives""";2021-09-10;Trip Verified;United States;n/a;Atlanta to Amsterdã;Couple Leisure;Economy Class;September 2021;1;1;1;1;1;n/a;1;no
10;J Suta;"""experience was very positive""";2021-09-04;Not Verified;United States;n/a;Split to Bordeaux via Amsterdam;Solo Leisure;Economy Class;September 2021;5;5;5;5;n/a;n/a;5;yes
1;C Carter;"""seats were tiny""";2021-09-02;Trip Verified;United States;n/a;Amsterdam to Kiev;Solo Leisure;Economy Class;July 2021;1;1;2;1;2;1;2;no
1;Farah Abdul Hafeez;"""lied to by a KLM representative who I put my trust in""";2021-09-01;Trip Verified;United Arab Emirates;n/a;Dubai to Calgary via Amsterdam;Solo Leisure;Economy Class;August 2021;1;3;1;n/a;n/a;n/a;1;no
7;S Gorsey;"""it was a pleasant experience""";2021-08-31;Trip Verified;United Arab Emirates;E-195 / B737-800;London City to Moscow via Amsterdam;Solo Leisure;Economy Class;August 2021;2;5;4;2;n/a;n/a;4;yes
1;C Klemm;"""still trying to change a flight""";2021-08-28;Not Verified;United Arab Emirates;n/a;London to Amsterdam;Business;Economy Class;August 2021;1;n/a;n/a;n/a;n/a;n/a;n/a;no
8;Michel Perrin;"""check-in was extremely slow""";2021-08-24;Trip Verified;United Arab Emirates;E175;Stuttgart to Amsterdam;Couple Leisure;Economy Class;August 2021;2;4;4;3;n/a;n/a;1;yes
10;Pieter Verschuren;"""crew was professional and friendly""";2021-08-21;Trip Verified;United Arab Emirates;Boeing 787-10;New York JFK to Amsterdam;Family Leisure;Economy Class;August 2021;5;4;4;4;5;5;5;yes
1;D Paniccia;"""the whole catastrophe""";2021-08-20;Not Verified;United Arab Emirates;n/a;Manchester to Toronto via Amsterdam;Family Leisure;Economy Class;June 2021;1;3;4;3;3;1;1;no
